Order_ID,Date,Customer_ID,Product_Category,Product_Name,Quantity,Unit_Price,Total_Amount,Region,Payment_Method
1001,2024-01-15,C001,Electronics,Laptop,1,899.99,899.99,North,Credit Card
1002,2024-01-16,C002,Clothing,T-Shirt,3,19.99,59.97,South,PayPal
1003,2024-01-16,C003,Electronics,Smartphone,1,599.99,599.99,East,Debit Card
1004,2024-01-17,C004,Home & Garden,Coffee Maker,2,49.99,99.98,West,Credit Card
1005,2024-01-18,C001,Electronics,Wireless Mouse,1,29.99,29.99,North,Credit Card
1006,2024-01-19,C005,Books,Business Strategy,1,34.99,34.99,South,PayPal
1007,2024-01-20,C006,Clothing,Jeans,2,59.99,119.98,East,Credit Card
1008,2024-01-21,C007,Electronics,Tablet,1,399.99,399.99,West,Debit Card
1009,2024-01-22,C002,Home & Garden,Blender,1,79.99,79.99,South,PayPal
1010,2024-01-23,C008,Books,Python Programming,1,44.99,44.99,North,Credit Card
1011,2024-01-24,C009,Clothing,Sweater,1,69.99,69.99,East,Credit Card
1012,2024-01-25,C003,Electronics,Headphones,1,149.99,149.99,East,Debit Card
1013,2024-01-26,C010,Home & Garden,Vacuum Cleaner,1,199.99,199.99,West,Credit Card
1014,2024-01-27,C004,Books,Data Analysis,1,39.99,39.99,West,PayPal
1015,2024-01-28,C011,Electronics,Smart Watch,1,299.99,299.99,North,Credit Card
1016,2024-01-29,C012,Clothing,Jacket,1,89.99,89.99,South,Debit Card
1017,2024-01-30,C013,Electronics,Keyboard,1,79.99,79.99,East,Credit Card
1018,2024-01-31,C005,Home & Garden,Lamp,2,34.99,69.98,South,PayPal
1019,2024-02-01,C014,Books,Machine Learning,1,54.99,54.99,North,Credit Card
1020,2024-02-02,C015,Clothing,Shoes,1,99.99,99.99,West,Debit Card
